PG.ProteinAccessions,NP1_1,NP1_2,NP1_3,NP1_4,NP1_5,NP2_1,NP2_2,NP2_3,NP2_4,NP2_5,NP3_1,NP3_2,NP3_3,NP3_4,NP3_5,NP4_1,NP4_2,NP4_3,NP4_4,NP4_5,NP5_1,NP5_2,NP5_3,NP5_4,NP5_5,NP6_1,NP6_2,NP6_3,NP6_4,NP6_5
A3KMH1,65740.3125,66322.0545892417,65885.3687765822,65044.8139389791,64961.9789869338,37709.9921875,37734.384554375,38551.3546102978,37130.0273606852,38475.2304236703,283114.21875,283705.808828082,283982.248094827,284026.326201353,282235.797074586,46557.578125,46401.5252417512,46742.4958143011,46400.0841909647,45997.9150872305,30062.8046875,29325.9278551787,30355.5691304728,30228.1936735027,29438.6929163821,28229.5625,28441.254810404,27857.7725281678,27230.7530105785,29112.4448845834
A3KN83,56158.859375,56346.3486531489,55416.1627731025,56483.1678546704,55270.5572848879,60842.67578125,59910.9833677299,60668.5176849365,61386.6458846256,61835.9628365375,68364.0703125,68846.6830764972,67737.9196555428,68772.2906129509,67777.1317003369,58316.78125,57777.8174930103,57553.2266690247,58106.6443884596,57640.7807852924,43336.140625,42512.2605537139,44318.8157927319,42389.6508373395,44327.4433080181,44295.4140625,43791.5460218713,44978.7600518242,45140.4520108402,43360.2633711919
A4D1E9,42310.39453125,42917.7094806395,42577.9508917071,42085.3762125075,42270.1664531082,43808.23828125,44008.7940565646,43519.9164411388,43254.328883566,43955.8950032443,43371.0625,43700.0134038441,43331.0708804689,42876.3300064653,43339.7538578771,19600.259765625,19267.7287628092,19387.7914018147,19943.9770808592,18663.4451412745,25640.029296875,25214.0621008724,26610.7740752771,26399.8059235886,26210.1675063744,30848.263671875,31021.6495071277,31299.728565637,30075.2510254011,31448.1979019679
A4D1P6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68920.5,69890.009663526,69548.5770325102,69472.3117835745,69824.5412837639,70952.46875,70134.2425606474,70327.0561624579,70141.7847973555,70363.0765037872,36368.30859375,35829.2379716858,36091.3315170892,36133.9713304751,37178.5353987925,45101.58984375,44755.6138705723,45963.0282284953,44348.4859830961,45895.5510362312
A4D2P6,50082.921875,50388.9428468533,49666.9949393831,49371.3233231679,50536.0096365325,83093.0546875,82104.4070975743,82902.0948446244,82271.0095773339,82565.4713952802,51996.9453125,51715.8794996999,52222.1470352001,51451.4016660601,52168.904106386,6139.486328125,5174.09174645692,5183.66832135618,6016.04430320114,5908.02004177496,28819.451171875,27921.4467168488,28446.0280760825,28334.6542478241,29347.1267381385,36873.3671875,37529.4235697277,37311.3432707526,36944.6602747105,36952.9973468073
A5YKK6,251127.234375,250623.589143984,250953.935632378,251445.04783944,252015.192824777,249612.828125,248823.170924313,250445.688165013,249064.567117706,250199.211831424,248517.84375,248687.924668353,247978.543589983,249214.231234204,248063.986581445,231850.359375,231451.990477618,231047.94232535,232040.661637083,231960.294083104,160330.421875,161253.51582491,161259.279804073,160478.915223621,159867.56475107,175409.375,174505.850569531,174995.131879766,176373.006149847,174635.78661643
A6NC98,40361.1484375,40463.6674504876,40707.3396486379,40050.2166133523,40205.4661340229,35373.2109375,36339.2991472669,35774.2134540044,34592.3281687014,36164.4467369355,83115.859375,82450.4951351695,82695.6742202304,83981.2204587646,83928.5252943076,80403.921875,80829.428859815,79977.8383316621,80388.3391612358,79652.9440486953,64536.05859375,65159.0774964765,63873.5928393193,64358.709489204,64874.8433149643,74671.7265625,74374.2321808338,74595.6386578716,75025.9007522352,74718.1360893399
A6NCC3;F8WBI6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6NCE7;Q9GZQ8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6NDG6,41738.8125,42625.491346553,40794.9926912263,41739.2681081258,42434.5860242322,45212.09375,45915.317170307,45570.7758897766,46048.9655802809,45997.636135187,43602.671875,44495.9027681835,42845.9765131921,43146.8023502603,42803.7618657909,45259.2890625,46197.6857957542,44682.1034126095,45860.6402933709,44992.5274312608,34162.2109375,34334.0731537007,34831.8059210703,34344.6891707405,33328.8537309542,32368.0546875,32541.6391421929,32238.6555182636,31542.586469546,32216.9137298949
A6NDU8,14176.6875,13976.9498403445,15100.5406691954,13390.8963925466,14378.2217637897,16140.7333984375,16374.1087382063,15797.874274604,16359.9233766422,15895.2876575626,10605.9072265625,11053.9375274666,11529.075774014,10048.8404968046,11309.9906017296,11874.9248046875,12555.8677163422,11526.8533631675,11728.5725461766,12074.2733242437,8529.6591796875,8050.27642491832,8201.01482951641,9052.88619054109,8109.48952631652,11192.5009765625,10816.29381999,11115.1620705575,10908.7089558095,12101.9574624449
A6NE01,319472.46875,319018.956023183,318544.805918735,320175.126782998,319561.244523998,324534.9375,325281.1460234,324350.361987926,323797.302342929,323653.077026341,337848.84375,338101.074846849,337192.205217589,337973.674777817,337892.201756515,337984.40625,338186.261862453,337693.338891894,337120.765607275,338043.951164402,233827.125,233581.534297369,233196.184078395,233305.896288879,234291.061944026,207146.5625,206575.088339001,207122.638258692,207311.459866427,207754.422461689
A6NED2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6NFI3,21832.3671875,21567.3275875337,22734.7144825794,21335.9289063551,22132.9323068671,17166.015625,17162.9024813883,17698.9954053424,16602.6198980398,16962.4227001332,34936.32421875,35644.4317987151,35868.2731701955,34726.3641688004,34684.8197872713,35386.4375,35297.3484221026,36319.8900289014,35012.7510732152,36034.9091865234,29019.03515625,29216.8001601398,28246.6332613416,29807.7139862739,29407.377136305,22518.75390625,21569.0755662546,22229.5640520789,22599.4821558744,21970.1200216115
A6NHL2,279772.40625,279969.258462306,279765.520417824,280645.196077175,280470.137939084,228143.3125,227772.766526464,227615.810303159,227460.624315917,228045.686263733,158250.96875,158705.36155523,157608.737285148,158234.793662459,158867.828418866,120038.3046875,119255.070758075,120736.354865622,119925.672068749,120363.292838469,206200,206972.380025126,206264.858190715,206665.509487316,205837.770847883,178374.875,177574.629984118,179246.766757939,177733.704164878,178871.074795045
A6NHR9,216897.359375,216751.298977617,217065.936460249,216100.970666945,217869.901291184,230976.203125,230331.457710855,230112.042519759,230130.714194413,231497.620162584,264914.03125,265524.261534743,265312.938809924,264099.086954322,265141.156818781,283148.65625,283100.661955796,283179.923486918,282426.946238637,282239.455476891,184915.125,185318.316297315,185274.102094758,185271.203097131,184675.45302416,186317.25,185593.61712417,187283.34278908,187010.771363661,187135.333482794
A6NHZ5,27713.31640625,27750.901884526,27068.2621189728,28399.4458677582,28185.360185463,21823.2578125,21068.1248346493,22380.0447561927,22274.4130945913,21762.6409807391,30634.46875,29857.494915273,30422.3265889063,30023.0840825438,31313.8614645191,24205.765625,23846.5431863479,24372.6516035423,24439.0739859119,24756.0719572976,22676.357421875,22817.2131942958,21800.2894472703,22098.4021647274,22146.6635180078,NA,NA,NA,NA,NA
A6NI28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6NI72;P14598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6NIH7,74555.640625,73958.4659740105,74675.3314111158,74715.7910151184,74461.9939603619,66638.5625,65883.4312735014,67009.8347822092,66276.9726868607,67348.6585137323,189313.890625,188442.551198624,190105.322460387,189931.29922517,189533.811588049,76541.59375,76247.4359003752,75605.5337795913,77536.0489748344,75701.9657688141,127345.71875,126591.281607948,127916.624630071,126809.294716191,127894.660195537,146894.171875,146112.086127076,147676.901653439,147039.430732869,147552.746167902
A6NJ78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8CG34,246992.5625,246365.131336436,246980.832416736,247541.485155173,247591.51417267,431665.21875,430883.791284155,431837.130638756,431442.834082976,431513.79712623,553580.4375,553035.066764772,553351.741031248,552581.445172865,552834.020210866,371583.28125,370814.986771699,371334.702461753,371025.947075132,371212.954473477,NA,NA,NA,NA,NA,172633.625,172957.317329228,171788.529172756,172435.7174991,173261.212663941
A8MPP1;Q92771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8MVS5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8MVU1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98782.4765625,98117.0881995521,99190.5175144374,97854.5090318248,98192.492748104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8MW92,68774.109375,68129.8833138198,68160.1822607107,69340.8590646349,68338.394913625,70309.59375,70469.9437812194,70278.4847857654,70512.8669252843,70436.1289011538,69695.234375,69978.279291112,70586.135397125,68938.5851211101,68951.0952578112,76857.78125,77005.1773325242,76665.8222363032,76382.9214530699,76366.3716548756,54823.296875,54044.2094460651,55577.8528091088,54939.8058543503,55623.509801697,55036.40625,54593.9763018675,54520.6108114496,55313.1948102079,55189.8401973583
A8MWD9;P62308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8MXV4,NA,NA,NA,NA,NA,28259.826171875,27909.5902812779,28764.2392764911,27892.5634373091,27870.7360701747,22138.685546875,21474.2624797523,21639.3721746877,21629.7191866338,21566.1891201176,18992.619140625,18579.2524913251,19237.8794873059,18143.9806410037,19430.2958073951,14764.904296875,14517.2223485187,14029.2858569063,14971.5405124351,15604.53818544,NA,NA,NA,NA,NA
A9UHW6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B0I1T2,325450.21875,325669.140002992,325141.549167991,325243.774909828,325562.645544134,343758.53125,344315.161561534,344363.892440159,342940.431558467,343391.464884333,355834.46875,355837.05461742,356563.323687945,356004.297116488,355487.440554608,367765.8125,368215.369867712,367078.865485817,367574.639770754,368103.407589339,232935.125,232765.559752628,232302.347990841,232549.660769913,232537.563449394,225243.703125,224491.677406199,225713.452249255,225441.815042358,225489.381987091
B7ZAQ6;P0CG08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C4AMC7;Q6VEQ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C9J798;O43374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C9J7I0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C9JLW8,128124.6328125,128254.68596483,127426.367255323,127775.393314123,128767.733659059,147362.65625,147871.950813904,148331.539449617,146563.188368324,147387.751976829,137124,137819.156823378,136896.367224097,137000.628771424,137194.499734022,127777.453125,127701.527638372,127127.656937588,128734.824221592,126830.340663448,81848.3046875,80875.0767344274,82396.5597417802,82080.4885942154,81018.9093141481,77495.8203125,77054.1153407842,76891.2375482917,76997.5496695563,76752.7061227895
C9JRZ8,504904.5,504861.92275985,505818.893784013,504703.489579547,504350.38146219,290450,290452.835530322,291268.249719683,289692.884406354,290165.971895494,503873.21875,504759.012723692,504689.126458835,503332.172987867,504343.265813194,271355.6875,272097.27047712,270443.243342474,271755.474346712,271415.848453552,367958.28125,367993.727564607,368709.619548433,367945.871087518,366967.814990114,202917.703125,203333.69655798,202483.490820348,202016.28173732,203237.043938905
E9PAV3;Q13765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E9PRG8,385106.5,385611.891282029,384909.905349143,385811.485281453,385813.275981467,425128.34375,425366.154669527,424654.218164481,424397.978765167,424290.900252037,387680.6875,386918.958884966,387054.977218457,387904.811100405,388211.177673958,399681.09375,399149.589528739,398722.983918563,400509.213435873,399963.846864589,246440.53125,245682.178857181,246527.622386724,245460.555727039,246618.340053041,241511.015625,240920.220893603,242292.561706882,241146.568332128,241046.370312367
I3L1I5,NA,NA,NA,NA,NA,13496.2216796875,12853.4542312436,13005.1848105676,13301.011077553,13054.9377644956,22659.6953125,22875.8675527088,23211.7244965658,23109.1546589769,21696.5067685843,23178.482421875,23214.0507695414,22947.2452799939,23809.8095913567,24109.0880867243,18652.96484375,17810.1418859661,18710.5490270406,18233.4592196494,18778.3613799475,15721.9189453125,16479.5523282327,15359.6498776414,16268.7255708687,15923.7961299904
iRT-pep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L0R6Q1,173096.65625,172350.789684035,173918.711583294,174090.244920157,172618.44991257,173621.625,173383.012732346,173948.345024925,172810.036084935,174370.313477091,185991.125,185649.176291015,185813.400460698,185811.614147678,186830.811231222,194997.734375,194997.125162445,194595.486931205,194196.461831387,194490.448334422,133289.25,133101.160401098,134150.1834426,132623.457902662,133148.967181418,124919.625,124741.471573148,124730.360031497,124587.363899123,124162.038191125
L0R819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O00115,176472.4375,176878.484959692,175822.655012809,177027.625214286,176931.996294275,200484.90625,200876.986370742,199503.566976957,200430.962365441,200829.656608257,270586.6875,270710.676466458,270178.126818378,270169.051614933,271080.121470027,150049.3125,149749.095343702,150131.824925724,150804.656599831,150755.664252859,190805.96875,189823.456637293,191609.000088379,190095.418630365,191362.178144243,183780.671875,183032.560828149,184253.979355104,184002.158364289,183540.648441769
O00116,169998.9375,169126.352918625,170938.361638982,170534.742667165,169202.007675834,179090.390625,179934.353047106,179667.566898335,179043.102907073,178403.854934089,278066.4375,277453.799948964,277927.778136387,277101.838079683,277635.589670327,253259.640625,253201.69189458,252352.25832767,253710.602323778,253782.095565714,155241.4375,155323.469404254,155621.663146775,154250.629929483,155300.545172889,154582.359375,155338.839076027,154286.400563117,155066.223124541,154054.820243768
O00139,160893.8125,161225.026638307,160473.700816337,161685.078799319,161193.231952436,154770.34375,155005.786054518,155342.995433353,154575.830426749,154413.58833316,175955.5625,176621.779003829,175581.434556,175574.505751669,176227.240982648,181221.125,180591.142717127,181571.493982647,181906.585914858,181104.887022946,125300.015625,124922.236465771,125593.478614852,124804.550236478,125693.147719759,135219.5,135824.582675815,135727.122993551,136140.317497186,135679.195308935
O00142,78747.796875,79609.0039676465,79323.7772304974,79259.2432247885,78211.4737155326,81990.28125,81491.2240404151,82659.1088847704,82094.3871560954,82458.8501734175,66319.3125,65467.891443219,66274.0383205712,66557.8225587271,67271.2852597944,NA,NA,NA,NA,NA,45701.5703125,46316.4308411144,46103.2341132015,45944.1565196104,44872.3340765648,61934.4453125,60956.3997599967,62476.6210706644,61263.3378294036,62513.8040653169
O00148,78849.5546875,78892.6925111972,77974.0600802414,78719.8615360484,78623.2340235673,65550.25,65138.8159335181,66540.7463895679,66541.0506810583,65116.9976821691,70213.9453125,70289.3238450214,71106.8254495785,70518.1281511486,71144.0541414358,83682.2578125,83372.6541903168,82903.3774761781,84064.7578672804,83407.9285590276,38989.078125,38333.3813534267,38857.3286719769,39585.5426960774,38146.9716411233,66371.65625,66215.5550446138,66842.7291948125,66593.4505129941,66755.316245161
O00151,650856.9375,650893.312607709,650871.471155252,650275.798111506,650536.802740119,1001058.25,1000460.6888371,1001535.99826735,1000713.11009931,1001011.81891677,1001425.3125,1001022.26747248,1000819.1701011,1000475.97349111,1001439.52348039,660476,660320.702247996,659642.677184403,660664.444936182,660973.781476006,391485.59375,391224.553252429,391414.947111018,390497.362210739,390793.300535388,391124.5625,391848.711890124,390334.580131762,390725.877978329,391442.659493957
O00154,573149.625,573587.127764165,572883.066676013,572644.354561731,573341.290082239,573632.625,573398.533658504,573275.717648126,574042.097553059,572745.69296968,576054.5,576796.137088824,576901.179292619,576854.878454849,575601.24838949,572918.9375,572538.525733065,572611.627320193,573759.50662316,573386.031732794,398112.375,397183.867610499,397965.087291759,397857.403261095,397645.397906631,346138.34375,346880.145662896,347000.60445812,346926.201428253,345436.879756827
O00159,169017.109375,169930.132441241,169891.762328818,169004.201987311,169560.324378796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24975.189453125,24514.9320574887,25948.6128810272,24211.5860899389,25502.1870645173,25704.216796875,25651.9081843719,25085.1426277943,25012.0607912242,25950.0478645489
O00160,53258.40625,53840.1052823365,53994.5618554093,53327.0071574561,52895.1024475582,55251.140625,55847.397934895,55330.8913607784,56019.9671082832,55567.4112916626,54437.5390625,53861.9557707943,54682.6772271097,53907.2081121057,55253.6448049732,56454.4609375,56517.1187957451,55713.8189836107,56502.5951447599,56794.0830983855,32181.625,32263.4109862,31270.389871005,31497.9708257914,32728.3225630261,34700.40625,35473.7570927627,33858.2206740193,34193.3942790292,34837.1174618751
O00161,142850.46875,143114.129261002,143742.118403669,143571.922331937,142221.098639425,136390.390625,135772.898378558,136612.471696697,136094.814231396,136664.306858331,128763.3125,128640.309664451,127922.4947193,128393.647184625,129604.545654759,128959.7890625,128116.488361847,129057.04984127,128296.383260865,128359.191844821,85077.6796875,84955.8362335376,85898.1226713806,85270.4650418311,84787.6125558689,88469.2109375,88709.2270160764,88363.7323145494,89014.2961082719,89116.3425425738
O00165,71142.296875,71585.2360810265,71492.9779713154,70907.2936080508,70858.946796611,76193.734375,76927.8499732576,75366.4111096263,76119.1835111789,75852.0141371377,61497.76171875,60678.6615441628,61137.4489327967,61737.460285712,61624.0750405081,68334.25,68817.0839461237,68529.4129118994,68748.3996829689,69195.8774688393,50931.35546875,50469.183157485,51072.0692973658,51367.2758874558,50558.2768705748,51990.109375,52739.0252708197,51708.5127339438,52168.1159266941,52149.7297503725
O00170,271631.46875,271275.447120819,270792.413131729,272449.841882497,272020.500473607,304352.09375,304742.658885982,304452.265877131,303540.982276522,303832.775347721,262072.09375,262951.885180198,261788.519161869,262558.993061654,262413.860955857,289009.53125,289889.846709799,288597.366774231,288521.702117063,288271.873766799,154313.59375,153792.297541741,155214.078377578,154474.536243007,154995.867746994,192043.0625,191176.699923627,192528.410869926,191300.040259767,193016.692424469
O00178,208069.09375,207792.383295625,207216.933712505,207535.564981077,208483.424944479,220943.828125,221787.389120068,221086.441157367,221378.620710205,219979.131256677,237132.703125,237495.946953528,237497.129830055,238057.20163741,237429.315646634,214604.359375,213976.469425637,215509.710823804,214023.594944891,214260.23780337,169853.25,169647.14049625,169332.038887616,169021.719825294,170633.962119304,156704.71875,156899.800359767,156711.651141319,156229.06642317,156434.074210498
O00182,54064.23828125,53790.5296741799,53864.9276912026,53799.3690620922,53924.3469999917,61082.60546875,61246.3701052479,60464.4526463822,60157.654022973,62050.5312329046,55850.60546875,56794.8570139892,55445.6813833863,56197.9894135334,55175.0178360566,79571.703125,79526.0507210381,79078.1233214997,79275.5692915283,78881.9732528403,70225.703125,70982.9105586931,70064.9798155017,70675.081417542,69661.8472539075,34204.94921875,33654.6345329545,34909.3344662972,34093.2389842048,33273.5703610517
O00186,79774.328125,79432.8456775397,80051.8143124059,79587.9223889783,79230.4797426909,84784.890625,84926.8148106784,85542.8474348299,83971.74205615,85637.5679479241,83717.3671875,84678.6214438118,82854.6677570641,83168.6010634378,84401.2411319502,82695.78125,83231.3600489683,82794.8339977115,82316.3308207691,82493.5929244198,58107.94140625,58518.6743679754,57741.7482369877,57383.0202398188,58546.2778009772,61115.06640625,60310.36159762,62050.1453624368,60926.0797118098,61482.5790859088
O00189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
